Country,ArrivalYear,Population
England,before 1951,22533
England,1951-1960,80776
England,1961-1970,241108
England,1971-1980,156434
England,1981-1990,127590
England,1991-2000,89605
England,2001-2010,194615
England,2011-2021,165120
India,before 1951,1443
India,1951-1960,1267
India,1961-1970,8790
India,1971-1980,10641
India,1981-1990,17626
India,1991-2000,37232
India,2001-2010,210312
India,2011-2021,375630
China,before 1951,849
China,1951-1960,2485
China,1961-1970,3097
China,1971-1980,5294
China,1981-1990,45031
China,1991-2000,65011
China,2001-2010,170808
China,2011-2021,245914
New Zealand,before 1951,1441
New Zealand,1951-1960,3490
New Zealand,1961-1970,20171
New Zealand,1971-1980,57703
New Zealand,1981-1990,90429
New Zealand,1991-2000,88634
New Zealand,2001-2010,125669
New Zealand,2011-2021,125465
Philippines,before 1951,58
Philippines,1951-1960,130
Philippines,1961-1970,1132
Philippines,1971-1980,9473
Philippines,1981-1990,45702
Philippines,1991-2000,37653
Philippines,2001-2010,69251
Philippines,2011-2021,124511
Vietnam,before 1951,37
Vietnam,1951-1960,111
Vietnam,1961-1970,513
Vietnam,1971-1980,29767
Vietnam,1981-1990,69576
Vietnam,1991-2000,42472
Vietnam,2001-2010,38674
Vietnam,2011-2021,67191
South Africa,before 1951,178
South Africa,1951-1960,853
South Africa,1961-1970,3249
South Africa,1971-1980,11589
South Africa,1981-1990,20673
South Africa,1991-2000,28485
South Africa,2001-2010,67512
South Africa,2011-2021,54171
Malaysia,before 1951,264
Malaysia,1951-1960,1225
Malaysia,1961-1970,6462
Malaysia,1971-1980,13628
Malaysia,1981-1990,29949
Malaysia,1991-2000,15524
Malaysia,2001-2010,35954
Malaysia,2011-2021,59204
Italy,before 1951,6066
Italy,1951-1960,55263
Italy,1961-1970,52097
Italy,1971-1980,11068
Italy,1981-1990,4122
Italy,1991-2000,3305
Italy,2001-2010,6144
Italy,2011-2021,18031
Sri Lanka,before 1951,198
Sri Lanka,1951-1960,813
Sri Lanka,1961-1970,3166
Sri Lanka,1971-1980,5685
Sri Lanka,1981-1990,16270
Sri Lanka,1991-2000,18715
Sri Lanka,2001-2010,36084
Sri Lanka,2011-2021,48995
